date,category,region,units_sold,discount_pct,sales_amount
2021-08-17,Furniture,East,39,0.12,12260.53
2021-02-21,Clothing,West,29,0.1,3121.14
2022-07-18,Food,West,15,0.01,1328.68
2022-05-17,Clothing,North,43,0.11,3090.89
2022-04-03,Electronics,East,8,0.22,7302.07
2021-10-13,Clothing,East,21,0.0,3025.49
2021-07-29,Food,East,39,0.11,1739.3
2021-06-28,Food,West,19,0.35,1153.54
2023-05-15,Clothing,West,23,0.24,2764.59
2021-03-07,Food,East,11,0.24,1216.19
2021-03-03,Electronics,West,11,0.16,7762.36
2021-07-11,Electronics,East,24,0.27,7584.93
2022-03-24,Food,West,36,0.08,1114.68
2022-04-22,Electronics,West,40,0.33,8258.05
2023-11-01,Food,East,24,0.05,1378.65
2021-02-24,Clothing,East,3,0.26,3091.5
2022-02-12,Furniture,South,22,0.14,12257.07
2023-05-10,Sports,East,2,0.3,3323.65
2022-03-28,Food,South,24,0.22,1461.72
2023-07-09,Clothing,West,44,0.18,2541.73
2022-07-24,Sports,East,30,0.07,4568.16
2021-01-14,Electronics,West,38,0.25,11897.18
2021-11-23,Furniture,East,2,0.39,18736.56
2023-05-16,Food,West,21,0.33,2161.14
2022-11-28,Sports,West,33,0.02,6153.66
2022-07-24,Clothing,West,12,0.15,4071.35
2021-11-15,Sports,North,22,0.37,5212.76
2022-03-17,Clothing,West,44,0.2,3722.71
2022-11-21,Electronics,South,25,0.26,11865.96
2021-07-29,Sports,East,49,0.37,3936.66
2021-07-09,Food,South,27,0.35,1269.39
2023-02-18,Sports,North,42,0.2,3274.97
2021-07-18,Electronics,South,28,0.18,8284.8
2023-01-06,Sports,East,16,0.14,5379.64
2022-12-06,Furniture,East,15,0.29,17704.5
2022-06-26,Furniture,East,47,0.11,11726.63
2021-03-30,Food,North,44,0.1,1997.79
2023-07-30,Food,North,3,0.14,1463.16
2021-09-13,Clothing,East,37,0.07,1778.13
2023-02-15,Clothing,East,7,0.28,2550.48
2021-06-11,Electronics,North,21,0.25,7218.93
2022-08-24,Furniture,East,9,0.19,12251.24
2023-01-11,Furniture,South,39,0.16,17408.55
2022-01-29,Electronics,West,18,0.36,11697.08
2021-05-23,Food,South,4,0.01,2375.17
2021-04-04,Furniture,East,25,0.31,12318.39
2022-04-12,Electronics,East,14,0.36,7417.71
2022-08-16,Electronics,West,9,0.18,8412.52
2021-06-13,Furniture,West,26,0.22,11641.08
2022-04-22,Clothing,East,2,0.38,3411.27
2021-07-26,Sports,West,20,0.08,3793.83
2023-02-18,Food,South,28,0.21,1019.99
