review_id,review,rating,category,platform,sentiment
1,Terrible product. Broke within a week of use. Really.,2,Clothing,Flipkart,Negative
2,Waste of money. Stopped working after 2 days.,1,Home,Amazon,Negative
3,"Fantastic product, works perfectly. Will definitely buy again.",4,Sports,Amazon,Positive
4,Very bad experience. Delayed delivery and broken product. Really.,2,Home,Nykaa,Negative
5,Brilliant! Exactly what I needed. Fast and reliable. Really.,4,Beauty,Meesho,Positive
6,Best purchase I've made this year. Love everything about it! Overall.,4,Electronics,Amazon,Positive
7,Very happy with this purchase. Exactly as described.,5,Books,Amazon,Positive
8,Awful product. Doesn't work at all. Very frustrated. Honestly.,1,Electronics,Nykaa,Negative
9,Incredible value. Better than I expected. Recommending to friends.,5,Clothing,Amazon,Positive
10,"Fantastic product, works perfectly. Will definitely buy again. Seriously.",5,Clothing,Amazon,Positive
11,Superb quality and value for money. Totally worth it! Really.,5,Books,Myntra,Positive
12,Outstanding quality! The packaging was excellent too.,4,Beauty,Flipkart,Positive
13,Poor quality. Looks cheap and feels cheap. Honestly.,1,Home,Myntra,Negative
14,Acceptable quality. Would consider buying again maybe. Really.,3,Beauty,Myntra,Neutral
15,Product is okay. Nothing special but does the job. Really.,3,Electronics,Myntra,Neutral
16,Exceeded my expectations. Great quality and fast delivery.,4,Beauty,Myntra,Positive
17,Superb quality and value for money. Totally worth it! Honestly.,5,Clothing,Myntra,Positive
18,Perfect product! Zero issues. Very impressed with the quality.,5,Home,Nykaa,Positive
19,"Fantastic product, works perfectly. Will definitely buy again.",4,Home,Amazon,Positive
20,Defective item. Had to return it. Very annoying process. Really.,1,Beauty,Flipkart,Negative
21,Extremely disappointed. Product arrived damaged. Honestly.,1,Home,Nykaa,Negative
22,Acceptable quality. Would consider buying again maybe. Overall.,3,Sports,Amazon,Neutral
23,Worst purchase ever. Complete waste of money. Overall.,2,Electronics,Myntra,Negative
24,Superb quality and value for money. Totally worth it! Overall.,4,Sports,Flipkart,Positive
25,Worst purchase ever. Complete waste of money.,2,Sports,Flipkart,Negative
26,Smooth experience from ordering to delivery. Product is top-notch.,4,Sports,Amazon,Positive
27,Cheap and flimsy. Fell apart on first use. Seriously.,1,Books,Myntra,Negative
28,"Fantastic product, works perfectly. Will definitely buy again. Seriously.",4,Beauty,Meesho,Positive
29,Acceptable quality. Would consider buying again maybe. Really.,3,Clothing,Meesho,Neutral
30,It's fine. Delivery was on time. Product is average. Overall.,3,Sports,Nykaa,Neutral
31,"Fantastic product, works perfectly. Will definitely buy again. Overall.",4,Home,Myntra,Positive
32,Love this product! It works like a charm. Highly satisfied. Seriously.,5,Clothing,Flipkart,Positive
33,This product is absolutely amazing! Highly recommend it.,4,Clothing,Amazon,Positive
34,Incredible value. Better than I expected. Recommending to friends. Really.,4,Electronics,Amazon,Positive
35,Average quality. Met basic expectations nothing more.,3,Clothing,Myntra,Neutral
36,Poor quality. Looks cheap and feels cheap.,1,Sports,Meesho,Negative
37,Superb quality and value for money. Totally worth it! Really.,5,Electronics,Amazon,Positive
38,Do NOT buy this. Total scam. Returned immediately. Honestly.,2,Home,Amazon,Negative
39,Waste of money. Stopped working after 2 days. Seriously.,1,Home,Myntra,Negative
40,Average quality. Met basic expectations nothing more. Really.,3,Clothing,Flipkart,Neutral
41,Very disappointing. Nothing like the description. Really.,2,Books,Meesho,Negative
42,Very well made. Good materials and solid construction. Honestly.,4,Sports,Amazon,Positive
43,Love this product! It works like a charm. Highly satisfied. Seriously.,4,Clothing,Flipkart,Positive
44,Superb quality and value for money. Totally worth it! Honestly.,4,Electronics,Flipkart,Positive
45,"5 stars! Brilliant product, quick shipping, great seller. Honestly.",5,Books,Meesho,Positive
46,Very bad experience. Delayed delivery and broken product. Really.,2,Clothing,Myntra,Negative
47,This product is absolutely amazing! Highly recommend it. Overall.,4,Electronics,Amazon,Positive
48,Awful product. Doesn't work at all. Very frustrated. Seriously.,1,Sports,Amazon,Negative
49,Average quality. Met basic expectations nothing more.,3,Electronics,Flipkart,Neutral
50,Very well made. Good materials and solid construction.,4,Sports,Amazon,Positive
51,Extremely disappointed. Product arrived damaged. Overall.,2,Clothing,Myntra,Negative
52,"5 stars! Brilliant product, quick shipping, great seller. Overall.",4,Home,Myntra,Positive
53,Average quality. Met basic expectations nothing more. Seriously.,3,Home,Nykaa,Neutral
54,Average quality. Met basic expectations nothing more. Seriously.,3,Sports,Flipkart,Neutral
55,Very disappointing. Nothing like the description. Seriously.,2,Clothing,Myntra,Negative
56,Superb quality and value for money. Totally worth it!,5,Beauty,Nykaa,Positive
57,Brilliant! Exactly what I needed. Fast and reliable. Seriously.,5,Clothing,Myntra,Positive
58,Exceeded my expectations. Great quality and fast delivery. Overall.,4,Books,Nykaa,Positive
59,Very happy with this purchase. Exactly as described. Overall.,4,Sports,Meesho,Positive
60,Very well made. Good materials and solid construction. Seriously.,4,Beauty,Meesho,Positive
61,Product is okay. Nothing special but does the job. Seriously.,3,Books,Flipkart,Neutral
62,Horrible experience. Customer service was useless. Honestly.,1,Sports,Meesho,Negative
63,Worst purchase ever. Complete waste of money. Really.,1,Sports,Amazon,Negative
64,Average product for average price. Pretty standard.,3,Clothing,Meesho,Neutral
65,Outstanding quality! The packaging was excellent too. Seriously.,5,Books,Flipkart,Positive
66,Waste of money. Stopped working after 2 days. Overall.,1,Sports,Meesho,Negative
67,It's fine. Delivery was on time. Product is average. Really.,3,Clothing,Flipkart,Neutral
68,Product is okay. Nothing special but does the job. Really.,3,Beauty,Myntra,Neutral
69,Extremely disappointed. Product arrived damaged. Overall.,1,Clothing,Amazon,Negative
70,This product is absolutely amazing! Highly recommend it. Really.,5,Clothing,Meesho,Positive
71,Brilliant! Exactly what I needed. Fast and reliable. Really.,4,Electronics,Flipkart,Positive
72,Outstanding quality! The packaging was excellent too. Overall.,4,Books,Nykaa,Positive
73,Brilliant! Exactly what I needed. Fast and reliable. Seriously.,5,Electronics,Myntra,Positive
74,Outstanding quality! The packaging was excellent too. Seriously.,4,Sports,Meesho,Positive
75,Smooth experience from ordering to delivery. Product is top-notch. Honestly.,5,Sports,Nykaa,Positive
76,Very well made. Good materials and solid construction. Overall.,4,Electronics,Meesho,Positive
77,Very well made. Good materials and solid construction. Overall.,4,Home,Amazon,Positive
78,Fairly standard product. Looks okay. Average quality.,3,Books,Amazon,Neutral
79,Horrible experience. Customer service was useless. Honestly.,2,Books,Meesho,Negative
80,Awful product. Doesn't work at all. Very frustrated. Really.,1,Home,Meesho,Negative
81,Garbage product. Complete disappointment.,1,Sports,Myntra,Negative
82,Brilliant! Exactly what I needed. Fast and reliable. Overall.,4,Books,Flipkart,Positive
83,Great experience overall. Customer support was very helpful. Honestly.,5,Home,Meesho,Positive
84,Awful product. Doesn't work at all. Very frustrated. Really.,2,Beauty,Amazon,Negative
85,Incredible value. Better than I expected. Recommending to friends. Seriously.,5,Clothing,Myntra,Positive
86,"Fantastic product, works perfectly. Will definitely buy again. Seriously.",4,Electronics,Flipkart,Positive
87,Average product for average price. Pretty standard. Seriously.,3,Home,Meesho,Neutral
88,Average product for average price. Pretty standard. Really.,3,Beauty,Meesho,Neutral
89,"Fantastic product, works perfectly. Will definitely buy again. Seriously.",4,Electronics,Meesho,Positive
90,Smooth experience from ordering to delivery. Product is top-notch. Seriously.,5,Sports,Flipkart,Positive
91,Average quality. Met basic expectations nothing more. Honestly.,3,Clothing,Meesho,Neutral
92,Awful product. Doesn't work at all. Very frustrated. Honestly.,2,Sports,Nykaa,Negative
93,Very well made. Good materials and solid construction. Really.,5,Beauty,Meesho,Positive
